libnl-3-200:amd64	3.2.27-1
libnl-genl-3-200:amd64	3.2.27-1
libnotify4:amd64	0.7.6-2
libnspr4:amd64	2:4.11-1
liborc-0.4-0:amd64	1:0.4.24-1
libp11-kit0:amd64	0.23.2-3
libpam-modules:amd64	1.1.8-3.2
libpam-modules-bin	1.1.8-3.2
libpam-runtime	1.1.8-3.2
libpam-systemd:amd64	229-1
libpam0g:amd64	1.1.8-3.2
libpango-1.0-0:amd64	1.38.1-1
libpangocairo-1.0-0:amd64	1.38.1-1
libpangoft2-1.0-0:amd64	1.38.1-1
libpangomm-1.4-1v5:amd64	2.38.1-1
libparted-fs-resize0:amd64	3.2-15
libparted2:amd64	3.2-15
libpcap0.8:amd64	1.7.4-2
libpci3:amd64	1:3.3.1-1.1
libpciaccess0:amd64	0.13.4-1
libpcre3:amd64	2:8.38-1
libpipeline1:amd64	1.4.1-2
libpixman-1-0:amd64	0.33.6-1
libpng12-0:amd64	1.2.54-3
libpolkit-agent-1-0:amd64	0.105-14.1
libpolkit-backend-1-0:amd64	0.105-14.1
libpolkit-gobject-1-0:amd64	0.105-14.1
libpopt0:amd64	1.16-10
libprocps5:amd64	2:3.3.11-3
libproxy1v5:amd64	0.4.11-5
libpsl0:amd64	0.11.0-2
libreadline5:amd64	5.2+dfsg-3+b1
libreadline6:amd64	6.3-8+b4
librest-0.7-0:amd64	0.7.93-1
librsvg2-2:amd64	2.40.13-3
librsvg2-common:amd64	2.40.13-3
librtmp1:amd64	2.4+20151223.gitfa8646d-1+b1
libsasl2-2:amd64	2.1.26.dfsg1-14+b1
libsasl2-modules-db:amd64	2.1.26.dfsg1-14+b1
libseccomp2:amd64	2.2.3-3
libsecret-1-0:amd64	0.18.4-1
libsecret-common	0.18.4-1
libselinux1:amd64	2.4-3
libsemanage-common	2.4-3
libsemanage1:amd64	2.4-3
libsepol1:amd64	2.4-2
libsigc++-2.0-0v5:amd64	2.6.2-1
libslang2:amd64	2.3.0-2+b1
libsm6:amd64	2:1.2.2-1+b1
libsmartcols1:amd64	2.27.1-3
libsoup-gnome2.4-1:amd64	2.52.2-1
libsoup2.4-1:amd64	2.52.2-1
libsqlite3-0:amd64	3.10.2-1
libss2:amd64	1.42.13-1
libssh2-1:amd64	1.5.0-2+b1
libssl1.0.2:amd64	1.0.2f-2
libstdc++6:amd64	5.3.1-8
libsystemd0:amd64	229-1
libtalloc2:amd64	2.1.5-1
libtasn1-6:amd64	4.7-3
libtext-charwidth-perl	0.04-7+b4
libtext-iconv-perl	1.7-5+b3
libtext-wrapi18n-perl	0.06-7.1
libthai-data	0.1.24-2
libthai0:amd64	0.1.24-2
libtiff5:amd64	4.0.6-1
libtinfo5:amd64	6.0+20151024-2
libudev1:amd64	229-1
libusb-0.1-4:amd64	2:0.1.12-28
libustr-1.0-1:amd64	1.0.4-5
libuuid1:amd64	2.27.1-3
libvte-common	1:0.28.2-5
libvte9	1:0.28.2-5+b1
libwayland-client0:amd64	1.9.0-1
libwayland-cursor0:amd64	1.9.0-1
libwayland-egl1-mesa:amd64	11.1.2-1
libwayland-server0:amd64	1.9.0-1
libwbclient0:amd64	2:4.3.3+dfsg-2
libwebkit2gtk-4.0-37:amd64	2.10.6-1
libwebp5:amd64	0.4.4-1+b1
libwrap0:amd64	7.6.q-25
libx11-6:amd64	2:1.6.3-1
libx11-data	2:1.6.3-1
libx11-xcb1:amd64	2:1.6.3-1
libx86-1:amd64	1.1+ds1-10
libxatracker2:amd64	11.1.2-1
libxau6:amd64	1:1.0.8-1
libxaw7:amd64	2:1.0.13-1
libxcb-dri2-0:amd64	1.11.1-1
libxcb-dri3-0:amd64	1.11.1-1
libxcb-glx0:amd64	1.11.1-1
libxcb-present0:amd64	1.11.1-1
libxcb-randr0:amd64	1.11.1-1
libxcb-render0:amd64	1.11.1-1
libxcb-shape0:amd64	1.11.1-1
libxcb-shm0:amd64	1.11.1-1
libxcb-sync1:amd64	1.11.1-1
libxcb-util0:amd64	0.3.8-3
libxcb-xfixes0:amd64	1.11.1-1
libxcb1:amd64	1.11.1-1
libxcomposite1:amd64	1:0.4.4-1
libxcursor1:amd64	1:1.1.14-1+b1
libxdamage1:amd64	1:1.1.4-2+b1
libxdmcp6:amd64	1:1.1.2-1.1
libxext6:amd64	2:1.3.3-1
libxfixes3:amd64	1:5.0.1-2+b2
libxfont1:amd64	1:1.5.1-1
libxft2:amd64	2.3.2-1
libxi6:amd64	2:1.7.6-1
libxinerama1:amd64	2:1.1.3-1+b1
libxkbcommon0:amd64	0.5.0-1
libxkbfile1:amd64	1:1.0.9-2
libxml2:amd64	2.9.3+dfsg1-1
libxmu6:amd64	2:1.1.2-2
libxmuu1:amd64	2:1.1.2-2
